"時間戳記","請問您目前就讀的學校是?(可不輸入學校名稱，如XX高中)","請問貴班有幾人","請問您就讀的學校位於哪個縣市","請回答下列問題 [我認為教室明亮度是足夠的]","請回答下列問題 [我認為教室通風度是足夠的]","請回答下列問題 [我認為教室的空間是足夠的]","請回答下列問題 [我認為椅子坐起來是舒服的]","請回答下列問題 [我認為來自課程外的聲響不會影響學習]","請回答下列問題 [我認為冷氣可以使學習環境更舒適]","請回答下列問題 [我認為學習環境還可以更好]","您對於現今的學習環境滿意度為"
"2022/12/03 5:38:16 下午 GMT+8","正義高中","31","高雄市","同意","同意","非常不同意","不同意","非常不同意","非常同意","非常同意","7"
"2022/12/03 5:38:17 下午 GMT+8","正義高中","31","高雄市","非常同意","同意","同意","非常同意","不同意","非常同意","同意","8"
"2022/12/03 5:50:21 下午 GMT+8","XX國中","32","新北市","同意","同意","同意","同意","同意","非常同意","非常同意","7"
"2022/12/03 5:59:40 下午 GMT+8","樹德家商","52","高雄市","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","5"
"2022/12/03 7:04:04 下午 GMT+8","後壁高中","3","台南市","非常同意","非常同意","非常同意","不同意","不同意","非常同意","非常同意","8"
"2022/12/03 7:42:17 下午 GMT+8","西苑高中","31","台中市","同意","同意","不同意","同意","不同意","非常同意","同意","8"
"2022/12/03 7:54:41 下午 GMT+8","東興國中","30","桃園市","非常同意","非常同意","不同意","同意","非常同意","非常同意","非常同意","8"
"2022/12/03 7:55:17 下午 GMT+8","雄女","40","高雄市","同意","同意","不同意","不同意","不同意","同意","同意","6"
"2022/12/03 7:57:58 下午 GMT+8","CYSH","29","高雄市","同意","同意","同意","不同意","同意","同意","同意","8"
"2022/12/03 7:59:38 下午 GMT+8","正義","31","高雄市","非常同意","非常同意","不同意","不同意","不同意","非常同意","同意","8"
"2022/12/03 8:27:27 下午 GMT+8"," 高雄高工","35","高雄市","同意","非常不同意","非常不同意","非常不同意","非常不同意","非常同意","同意","7"
"2022/12/03 8:29:40 下午 GMT+8","XX高中","30","新北市","非常不同意","非常不同意","非常不同意","非常不同意","同意","非常同意","非常同意","10"
"2022/12/03 8:30:01 下午 GMT+8","高雄高工","35","高雄市","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","8"
"2022/12/03 8:30:42 下午 GMT+8","台灣大學","62","台北市","同意","同意","同意","同意","同意","同意","同意","8"
"2022/12/03 8:31:36 下午 GMT+8","正義高中","31","高雄市","同意","同意","同意","同意","同意","同意","同意","7"
"2022/12/03 8:37:14 下午 GMT+8","輸人破專","31","高雄市","不同意","不同意","不同意","不同意","不同意","不同意","非常同意","2"
"2022/12/03 8:44:50 下午 GMT+8","高雄高工","35","高雄市","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","6"
"2022/12/03 8:46:10 下午 GMT+8","高雄高工","38","高雄市","非常同意","非常同意","非常同意","同意","非常同意","非常同意","非常同意","6"
"2022/12/03 8:49:05 下午 GMT+8","正義中學","31","高雄市","非常同意","同意","不同意","同意","同意","同意","非常同意","7"
"2022/12/03 8:50:25 下午 GMT+8","中山工商","48","高雄市","同意","同意","同意","同意","同意","同意","同意","8"
"2022/12/03 8:52:32 下午 GMT+8","中山工商","47","高雄市","非常同意","非常同意","非常同意","同意","同意","非常同意","非常同意","10"
"2022/12/03 8:57:47 下午 GMT+8","高中","33","花蓮縣","非常同意","非常同意","非常不同意","非常不同意","非常不同意","非常同意","非常同意","1"
"2022/12/03 9:12:55 下午 GMT+8","正義高中","34","高雄市","非常同意","同意","不同意","非常不同意","非常同意","同意","非常同意","4"
"2022/12/03 9:13:13 下午 GMT+8","正義高中","31","高雄市","同意","同意","不同意","同意","不同意","同意","同意","7"
"2022/12/03 9:36:09 下午 GMT+8","花崗國中","45","花蓮縣","不同意","不同意","不同意","不同意","不同意","不同意","不同意","3"
"2022/12/03 9:44:07 下午 GMT+8","高雄高工","37","高雄市","非常同意","非常同意","非常同意","非常同意","非常不同意","非常同意","非常同意","9"
"2022/12/03 9:47:23 下午 GMT+8","四維高中","35","花蓮縣","同意","非常同意","非常同意","同意","同意","非常同意","非常同意","8"
"2022/12/03 9:48:04 下午 GMT+8","海星國小","26","花蓮縣","同意","同意","同意","不同意","同意","非常同意","非常同意","3"
"2022/12/03 9:49:11 下午 GMT+8","花中高中","35","花蓮縣","同意","同意","不同意","不同意","不同意","非常同意","非常同意","4"
"2022/12/03 9:49:14 下午 GMT+8","四維高中","35","花蓮縣","同意","同意","同意","同意","同意","同意","同意","8"
"2022/12/03 9:51:46 下午 GMT+8","四維高中","48","花蓮縣","同意","同意","同意","同意","同意","同意","同意","7"
"2022/12/03 10:08:30 下午 GMT+8","鼓山高中","25","高雄市","同意","同意","不同意","非常不同意","非常不同意","非常同意","非常同意","6"
"2022/12/03 10:09:21 下午 GMT+8","長庚大學","55","桃園市","同意","同意","同意","同意","同意","同意","同意","8"
"2022/12/03 10:12:35 下午 GMT+8","海星國小","25","花蓮縣","同意","非常同意","非常同意","同意","同意","非常同意","同意","9"
"2022/12/03 10:17:56 下午 GMT+8","XX大學","43","台中市","非常同意","非常同意","同意","非常不同意","同意","同意","非常同意","8"
"2022/12/03 10:18:21 下午 GMT+8","OO商工","32","高雄市","非常同意","非常不同意","不同意","非常不同意","同意","非常同意","非常同意","6"
"2022/12/03 10:23:28 下午 GMT+8","XX國中","36","屏東縣","同意","不同意","同意","同意","同意","同意","同意","8"
"2022/12/03 10:25:20 下午 GMT+8","正義高中","31","高雄市","非常同意","非常同意","同意","同意","同意","非常同意","非常同意","8"
"2022/12/04 12:08:20 上午 GMT+8","長庚大學","59","桃園市","非常同意","非常同意","同意","同意","同意","非常同意","非常同意","8"
"2022/12/04 8:28:21 上午 GMT+8","**國中","28","高雄市","非常同意","不同意","同意","非常不同意","非常不同意","非常同意","非常同意","3"
"2022/12/04 10:45:36 上午 GMT+8","XX高中","38","高雄市","同意","同意","同意","不同意","不同意","同意","同意","5"
"2022/12/04 11:37:35 上午 GMT+8","正義高中","31","高雄市","同意","不同意","同意","同意","非常不同意","不同意","非常同意","8"
"2022/12/04 11:41:35 上午 GMT+8","正義高中","31","高雄市","同意","同意","同意","同意","同意","同意","同意","9"
"2022/12/04 11:43:02 上午 GMT+8","正義中學","31","高雄市","不同意","同意","同意","同意","同意","非常同意","非常同意","5"
"2022/12/04 11:45:57 上午 GMT+8","正義高中","31","高雄市","同意","同意","同意","同意","不同意","同意","非常同意","7"
"2022/12/04 12:11:05 下午 GMT+8","輔英科技大學","70","高雄市","同意","同意","同意","同意","同意","同意","同意","6"
"2022/12/04 12:14:10 下午 GMT+8","正義高中","31","高雄市","同意","同意","同意","同意","同意","同意","同意","8"
"2022/12/04 12:22:17 下午 GMT+8","正義高中","29","高雄市","同意","同意","不同意","同意","非常不同意","非常同意","同意","7"
"2022/12/04 12:22:41 下午 GMT+8","正義高中","31","高雄市","同意","不同意","不同意","同意","非常不同意","非常同意","同意","6"
"2022/12/04 12:23:26 下午 GMT+8","正義高中","31","高雄市","同意","同意","不同意","非常不同意","不同意","非常同意","同意","6"
"2022/12/04 12:37:22 下午 GMT+8","正義高中","31","高雄市","非常同意","非常同意","非常不同意","非常不同意","非常同意","非常同意","非常同意","2"
"2022/12/04 1:34:45 下午 GMT+8","正興國中","28","高雄市","不同意","不同意","不同意","同意","非常同意","同意","同意","6"
"2022/12/04 1:35:17 下午 GMT+8","XX高中","32","高雄市","非常不同意","非常不同意","非常不同意","非常不同意","同意","非常不同意","非常不同意","7"
"2022/12/04 1:35:33 下午 GMT+8","XX國中","32","高雄市","非常同意","同意","非常不同意","不同意","同意","非常同意","非常同意","4"
"2022/12/04 1:42:36 下午 GMT+8","XX大學","52","高雄市","同意","同意","不同意","不同意","不同意","同意","同意","5"
"2022/12/04 1:56:02 下午 GMT+8","正義高中","31","高雄市","非常同意","非常同意","不同意","不同意","不同意","非常同意","非常同意","8"
"2022/12/04 2:24:35 下午 GMT+8","輔英科大","63","高雄市","同意","不同意","不同意","非常不同意","同意","非常同意","非常不同意","9"
"2022/12/04 5:39:38 下午 GMT+8","XX高中","34","高雄市","同意","同意","同意","同意","不同意","非常同意","同意","8"
"2022/12/04 5:55:28 下午 GMT+8","正義高中","31","高雄市","同意","同意","同意","同意","非常同意","同意","非常同意","7"
"2022/12/04 7:16:04 下午 GMT+8","樹人醫專","30","高雄市","非常同意","不同意","同意","非常不同意","非常不同意","非常同意","同意","6"
"2022/12/04 7:27:29 下午 GMT+8","內湖高工","27","台北市","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","10"
"2022/12/04 10:03:49 下午 GMT+8","正義高中","27","高雄市","非常同意","非常同意","非常同意","不同意","同意","非常同意","非常同意","7"
"2022/12/04 10:47:17 下午 GMT+8","樹人醫專","30","高雄市","不同意","不同意","不同意","不同意","不同意","非常同意","非常同意","4"
"2022/12/04 10:48:46 下午 GMT+8","XX高中","37","高雄市","同意","同意","同意","同意","同意","同意","同意","8"
"2022/12/05 12:37:25 下午 GMT+8","XX國小","30","花蓮縣","非常同意","非常同意","同意","不同意","不同意","非常同意","非常同意","7"
"2022/12/05 12:38:45 下午 GMT+8","XX國中","29","花蓮縣","同意","非常同意","同意","同意","不同意","非常同意","非常同意","8"
"2022/12/05 12:40:01 下午 GMT+8","XX高中","35","花蓮縣","同意","非常同意","同意","同意","不同意","非常同意","非常同意","6"
"2022/12/05 12:41:27 下午 GMT+8","XX大學","38","台北市","非常同意","非常同意","同意","不同意","非常不同意","非常同意","非常同意","7"
"2022/12/05 4:30:11 下午 GMT+8","XX高中","28","高雄市","不同意","同意","不同意","不同意","不同意","非常同意","非常同意","4"
"2022/12/05 7:59:10 下午 GMT+8","土庫國小","23","屏東縣","不同意","非常同意","不同意","同意","不同意","非常同意","非常同意","6"
"2022/12/05 8:00:11 下午 GMT+8","土庫國小","16","屏東縣","同意","非常同意","非常同意","非常同意","同意","同意","同意","8"
"2022/12/05 9:09:30 下午 GMT+8","鹽埕國中","27","高雄市","同意","同意","同意","不同意","同意","同意","同意","7"
"2022/12/05 9:25:09 下午 GMT+8","XX高職","35","高雄市","同意","同意","不同意","不同意","非常不同意","非常同意","同意","6"
"2022/12/05 9:57:29 下午 GMT+8","XX高中","35","高雄市","同意","同意","不同意","同意","不同意","非常同意","同意","5"
"2022/12/05 10:14:02 下午 GMT+8","大學","59","新北市","同意","不同意","不同意","不同意","不同意","非常同意","同意","6"
"2022/12/05 10:34:09 下午 GMT+8","正義高中","31","高雄市","同意","同意","不同意","同意","不同意","同意","同意","5"
"2022/12/05 10:46:00 下午 GMT+8","正義高中","31","高雄市","同意","同意","非常同意","同意","同意","非常同意","同意","9"
"2022/12/05 11:13:45 下午 GMT+8","永靖高工","38","彰化縣","非常同意","非常同意","同意","不同意","不同意","非常同意","非常同意","5"
"2022/12/05 11:16:41 下午 GMT+8","正義高中","34","高雄市","非常同意","非常同意","不同意","非常不同意","非常不同意","非常同意","非常同意","3"
"2022/12/05 11:24:32 下午 GMT+8","正x高中","34","高雄市","同意","同意","不同意","同意","不同意","非常同意","非常同意","7"
"2022/12/06 7:45:48 下午 GMT+8","瑞祥高中","30","高雄市","非常同意","非常同意","不同意","不同意","非常不同意","非常同意","非常同意","8"
"2022/12/06 7:47:02 下午 GMT+8","xx高職","32","高雄市","非常同意","非常同意","非常同意","同意","非常同意","同意","非常同意","10"
"2022/12/06 7:53:22 下午 GMT+8","中正高工","41","高雄市","非常同意","非常同意","非常同意","不同意","非常同意","非常同意","非常同意","9"
"2022/12/06 7:55:07 下午 GMT+8","正義高中","34","高雄市","同意","同意","不同意","同意","不同意","同意","非常同意","6"
"2022/12/06 7:56:24 下午 GMT+8","鳳新高中","32","高雄市","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","10"
"2022/12/06 8:02:02 下午 GMT+8","瑞祥","35","高雄市","非常同意","同意","不同意","不同意","非常不同意","同意","非常同意","7"
"2022/12/06 8:04:37 下午 GMT+8","小港高中","29","高雄市","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","非常同意","8"
"2022/12/06 8:05:05 下午 GMT+8","小港高中","31","高雄市","不同意","同意","不同意","不同意","非常不同意","非常同意","非常同意","7"
"2022/12/06 8:05:36 下午 GMT+8","前鎮高中","30","高雄市","同意","同意","同意","同意","非常不同意","非常同意","非常同意","6"
"2022/12/06 8:08:57 下午 GMT+8","XX高中","32","高雄市","同意","非常同意","非常同意","同意","不同意","非常同意","非常同意","7"